head,desc,topic
Nirmala roots for holistic code in insolvency process," Finance minister Nirmala Sitharaman on Saturday said insolvency proceedings against corporate debtors as well as personal guarantors should be considered together for a comprehensive resolution.
Replying to members’ queries on the liability of personal guarantors in the IBC process in the Rajya Sabha, Sitharaman said, “The corporate debtor often has guarantors. So, for a comprehensive corporate insolvency resolution and liquidation, we felt it was necessary that the insolvency of the corporate debtor as well as its guarantors are considered together to whatever extent possible.”
The Rajya Sabha on Saturday passed amendments to the insolvency law to suspend fresh insolvency proceedings for at least six months starting March 25 amid the coronavirus pandemic, with Sitharaman saying a decision on extending the suspension of the relevant provisions will be taken next week.
In June, an ordinance was promulgated to amend the Insolvency and Bankruptcy Code (IBC). Default on repayments from March 25, the day when the nationwide lockdown began, would not be considered for initiating insolvency proceedings for at least six months. 
The six-month period is ending next week.
The minister also clarified that insolvency proceedings against corporates defaulting on loans prior to March 25 will continue and the amendment will not stall those cases.
On queries about the urgency to bring the ordinance, Sitharaman said that “between sessions if there is a need for ordinance because the ground situation demands it, I would think a responsive government’s duty is to at least use the ordinance to show that we are there with the people of India”.
“The IBC Code is not a recovery law... Saving lives of companies is far more important than enabling recovery of loans... We have the compulsion to save businesses, (the) corporate sector and they need to be insulated rather than enabling creditors to recover the loan for which they have several other options,” the finance minister said.
“There are several other avenues through which recoveries can be done. One can use statutory options or supervised compromises and court-supervised compromises. One can even use the RBI’s prudential framework and arrangements which are available under the Companies Act can also be used,” she added.
Businesses are facing trouble because of the pandemic. So, it was decided “that it was better to suspend Sections 7, 9 and 10 of IBC so that we can prevent corporate persons experiencing distress on account of the unprecedented situation of being pushed into insolvency proceedings”, she said.
Sections 7, 9 and 10 deal with the initiation of the corporate insolvency resolution process by financial creditors, operational creditors and corporate debtors, respectively.
Citing data for NPAs of commercial banks during 2018-19, Sitharaman informed the House that Lok Adalats recovered 5.3 per cent, debt recovery tribunals (DRTs) 3.5 per cent and SARFAESI 14.5 per cent. IBC ensured 42.5 per cent of recovery. ",business
Foreign investments in defence will be subject to scrutiny: Piyush Goyal," The government’s decision to ease the FDI norms in the defence sector will push self-reliance in production and keep national interests and security paramount, commerce and industry minister Piyush Goyal said on Friday.
He said the foreign investments would be subject to scrutiny on the grounds of national security. The government has permitted 74 per cent foreign direct investment (FDI) under the automatic route in defence with certain conditions.
“Now, FDI is allowed up to 74 per cent through the automatic route and beyond 74 per cent to be permitted through the government (approval) route. This will enhance ease of doing business and contribute to growth of investment, income and employment,” Goyal said in a tweet.
“In line with our collective vision of Aatmanirbhar Bharat, amendments will enhance self-reliance in defence production, while keeping national interests and security paramount.”
The government has permitted foreign direct investment (FDI) of up to 74 per cent under the automatic route to attract overseas investors, according to a press note issued by the DPIIT.
However, the investments would be subject to scrutiny on the grounds of national security and the government reserves the right to review any foreign investment that affects or may affect national security, the department for promotion of industry and internal trade (DPIIT) said in the note.
At present, 100 per cent overseas investments are permitted in the defence industry — 49 per cent under the automatic route, while government approval is required beyond that level. 
The permit for up to 74 per cent FDI through the automatic route was announced by finance minister Nirmala Sitharaman in May while announcing the fourth tranche of the Rs 20 lakh crore stimulus package for the coronavirus-hit economy.
In July 2018, the government had relaxed the foreign direct investment norms in the defence sector by allowing up to 49 per cent FDI under the automatic route.
According to DPIIT data, defence industries have received FDI equity inflows of $9.52 million (Rs 56.88 crore) between April 2000 and March 2020. 
Under the government route, foreign investors have to take prior approval of the respective ministry/department, while in the automatic route, the investor just has to inform the RBI. ",business
Govt tightens rule for domestic procurement," Foreign entities of countries which do not allow Indian companies to participate in their government buying will not be permitted to take part in domestic procurement, an official statement said on Friday. 
The government has also mandated a higher minimum local content from domestic suppliers. The limits for Class I and Class II local suppliers, at 50 per cent and 20 per cent, respectively, will be raised.
The changes in the procurement norms would not violate the global trade pacts as India is not a signatory to the WTO’s government procurement agreement and gives ample flexibility for the government to formulate policies, Biswajit Dhar, trade economist with JNU, said.
The government has added a reciprocity clause in its Public Procurement (Preference to Make in India) Order, 2017.
Advertisement
Powered By PLAYSTREAM Entities from countries which bar Indians from their procurement will be barred in India
Changes do not violate WTO rules as India not signatory to WTO’s procurement agreement “According to the Order, entities of countries which do not allow Indian companies to participate in their government procurement for any item, shall not be allowed to participate in government procurement in India for all items related to that nodal ministry/ department, except for the list of items published by the ministry/ department permitting their participation,” it said.
The order said this stipulation shall be part of all tenders invited by the central government procuring entities. 
All procurement on government e-marketplace shall also necessarily have this provision for items identified by nodal ministry/department. ",business
Govt reduces import duty on masoor dal by 20 per cent," The government has reduced the import duty on masoor dal by 20 per cent till October-end to boost the availability of the lentil in the domestic market during the festive season.
The import duty on masoor dal has been reduced to 10 per cent from 30 per cent from countries other than the US. In the case of the US, the duty has been brought down to 30 per cent from 50 per cent.
Bimal Kothari, vice-chairman of the Indian Pulses & Grains Association, said the government should have a consistent import policy. He said the duty cut announced in June benefitted foreign farmers and traders as the global prices of lentil rose after India reduced the import duty.
ADVERTISING
Ads by Teads
The country imported about 25 lakh tonnes of pulses last fiscal of which 8.5 lakh tonnes were lentil. The import of lentil is seen to rise to 10 lakh tonnes this fiscal although the overall shipments might come down to 20 lakh tonnes. 
Advertisement
Powered By PLAYSTREAM",business
Trai issues rules for publications and ads on tariff plans," Telecom regulator Trai on Friday issued a fresh set of rules for publication and advertisement of tariff plans by telcos, in a bid to boost transparency in mobile offers and to help subscribers make informed decisions. 
The move assumes significance as telecom subscribers often grapple with issues such as lack of information and vague plan details — a situation that affects subscribers’ ability to make proper choices. 
Tightening the rules for telcos, the Telecom Regulatory Authority of India (Trai) on Friday issued directions on tariff publication and tariff advertisements. 
ADVERTISING
Ads by Teads
“It has been observed that existing measures adopted by telecom service providers are not transparent as they should be and that some of the telecom service providers are not prominently highlighting additional terms and conditions. 
“They are also collating the terms and conditions applicable to various tariffs on a single web-page and that the relevant information either gets lost in the maze of details or becomes ambiguous and incomprehensible to consumers,” the Trai directive said. 
Advertisement
Powered By PLAYSTREAM
Trai has now directed telcos to publish, service area wise — within 15 days — each tariff plan for postpaid and prepaid subscribers, and offer full information to subscribers at customer care centres, points of sale, retail outlets and websites, and apps with requisite disclosures. 
The “essential disclosures”, mandated in Trai’s directive, include information on units/volume of voice, data and SMS, and its rates, limits of usage rates and speeds beyond entitled use. Telcos will also have to transparently inform subscribers about upfront cost along with details such as advance rentals, deposits, connection fee for postpaid services as well as top-up, tariffs vouchers and others. 
Trai asserted that “clear, unambiguous and easy to understand” disclosures also have to be made on the validity period of the tariff plan and the last date of bill payment. ",business
Apple to launch online store in India next week," Apple on Friday said it will launch its online store in India next week, offering its full range of products to customers across the country for the first time, a move that will help the tech giant cash in on the festive demand.
The online store, which will be launched on September 23, will provide customers with the same premium experience found in Apple Store locations around the world, delivered by online team members who are ready to offer their expertise, Apple said in a statement. 
In February, Apple CEO Tim Cook had said the company will launch its online store in India later this year, while its first physical retail store will open in the country in 2021. 
“We know our users are relying on technology to stay connected, engage in learning, and tap into their creativity, and by bringing the Apple Store online to India, we are offering our customers the very best of Apple at this important time,” Apple senior vice-president of Retail + People, Deirdre O’Brien, said. 
At present, Apple sells its products in India through third-party sellers and online marketplaces such as Flipkart and Amazon. 
The online store will allow people to shop for Apple products, with online Apple specialists available to help with services like custom-configuring Macs to setting up new devices. Customers can get advice, receive guidance, and learn about new products directly from Apple, both in English and Hindi, the statement said.
The online store will  offer financing options and trade-in programmes. All orders from the Apple Store online will ship with contactless delivery. ",business
Google bars Paytm from play store for violating gambling policy," Google on Friday restored the Paytm app on its Play store after removing it for violating its policy on sports betting activities. The app was back on the Google Play store on Friday evening after the Softbank-backed Paytm removed the “cashback” feature from a recently-launched game on the application.
Google had removed Paytm from Play Store for violation of its gambling policies.
Paytm’s fantasy sports app — Paytm First Games (PFG) — had also been barred.
Incidentally, on Tuesday, PFG had brought in cricket legend Sachin Tendulkar as its brand ambassador as it looked to cash in on the Indian Premier League (IPL) fever.
Google’s decision was prompted by Paytm’s move to allow its customers to collect cricket cards linked to their purchases or payments. Once a customer collected five such cards, he or she would earn a cashback.
In a blog post, Suzanne Frey, vice-president, product, Android security and privacy, said Google did not allow online casinos or support any unregulated gambling apps that facilitate sports betting.
“If an app leads consumers to an external website that allows them to participate in paid tournaments to win real money or cash prizes, it is a violation of our policies. We have these policies to protect users from potential harm. When an app violates these policies, we notify the developer of the violation and remove the app from Google Play until the developer brings the app into compliance,” she added.
Paytm, which has more than 50 million monthly active users, sought to assuage its customers saying all their account balances “are 100 per cent safe”. 
Paytm added that all its services are fully functional.
Paytm disclosed that it has temporarily removed the cashback component in an effort to meet the Play Store policy requirements.
While it is learnt that Google had notified the developers of Paytm a few days ago, its founder Vijay Shekhar Sharma told a television news channel that while Google’s decision has surprised them, an email was sent only after informing that the application has been taken down.  Staff Reporter, Calcutta: Consumers are in favour of the government prohibiting the advertisements of gaming platforms that encourage gambling.
According to a survey by LocalCircles, ads from gaming platforms were one area with which most consumers were not happy.
When asked if the government should prohibit advertisements from gaming platforms, 77 per cent of the respondents said “yes” while 18 per cent disagreed and a small 5 per cent were unsure about it. This particular poll received 7,293 responses, a statement by LocalCircles said.",business
Calcutta HC restrains Harsh Vardhan Lodha from holding position in MP Birla Group," Harsh Vardhan Lodha has been restrained from holding any position in the MP Birla Group by Calcutta High Court, handing the Birla family its most significant victory in the 16-year long legal tussle. The trial court judgment on Friday also restrained Lodha from drawing any benefit from the estate of the late Priyamvada Devi Birla. Lodha is the chairman of all manufacturing companies of the MP Birla Group.
Lodha is seeking probate of a will of late Priyamvada Devi Birla, wife of Late Madhava Prasad Birla, which handed the control of the group to late Rajendra Singh Lodha, father of Harsh Vardhan. 
A testamentary suit is being heard in the high court at present. 
ADVERTISING
Ads by Teads
The leash on Lodha will remain till the pendency of the suit, the judgment said, citing the requirement “to prevent apprehended wrong or anticipated mischief”.
“Following this order, Lodha has ipso facto vacated his office either as a director, or as a trustee or governing body member from all entities of MP Birla Group, which includes flagship Birla Corporation,” N. G. Khaitan, senior partner of Khaitan & Co and counsel for Birlas, commented. Birlas win big in trial court, Lodhas to appeal
Calcutta High Court restrains Harsh Lodha from holding any post in MP Birla Group entities
MP Birla firms include Birla Corporation, Vindhya Telelinks, Universal Cable and Birla Cable
Three-member committee of administrators can direct investment companies to vote in the manner it wants
Committee can take a decision by majority; turns down Lodha plea on the need for unanimity
Investment companies hold the key to control over listed entities of the MP Birla Group
Verdict ignored shareholders’ rights to elect a director, says Birla Corp
Lodha was elected director of key MP Birla companies by a majority of over 90% The Lodhas said the order passed by Justice Sahidullah Munshi “does not appear to be lawful”. Debanjan Mandal, partner of Fox & Mandal, advocates for Harsh Lodha, said the orders passed on Friday were not even asked for and will be challenged on this ground. 
“Our client’s confidence in the system remains completely unshaken and our client will challenge the judgment in the appeal court for immediate and long term relief,” Mandal said.
Administrators
Even as a three-member committee of administrator pendente lite (APL committee) was appointed by the court in 2012 to oversee the estate of late Priyamvada till the 
pendency of the probate matter, a significant disagreement arose in 2019 when the committee asked all investment companies, trusts and societies to vote against the reappointment of Lodha on the boards of Vindhya Telelinks and Birla Cables.
This year they again asked, by a majority decision, to vote against Lodha’s appointment in Birla Corporation and Universal Cables. 
Lodha maintained that the APL Committee must decide unanimously and its direction is limited to only those shares the directly held by the estate. In flagship Birla Corporation, the estate cast its voting rights against only 1,260 shares, while the promoters’ block consists of 62.9 per cent share.
Justice Munshi rejected both the Lodha contentions which may have long term impact on not only how the companies are managed but also many public institutions such as schools and hospitals are run.
The judgment read: “It is thus apparent that within its power and authority, the APL Committee has the right to exercise all such powers and perform all such acts as late Priyamvada Devi Birla would have exercised had she been alive. 
“Priyamvada Birla had a controlling share in the investment companies either by direct investment or along with other investment companies.”
“This view has been confirmed by both the division and single bench of this court and, in view thereof, the APL Committee is well within its powers to ask all entities which were under the control of Priyamvada Devi Birla to exercise their voting rights with regard to their investment in the share capital of any of the companies which were under the control of Priyamvada Devi Birla, in the manner considered by the APL as beneficial to the interest of the Estate,” it added.
“All these entities of the group would have exercised their voting rights in accordance with the directions of Priyamvada Devi Birla had she been alive. 
“Accordingly, now such entities would exercise their voting rights flowing from their investment in the companies controlled by Priyamvada Birla in the manner to be guided by the APL Committee,” the judgment said.
Khaitan said: “It has been established beyond doubt that the majority decision of the Administrators is binding on the Lodhas and their decisions have to be implemented in full. 
“Justice Munshi has further held that all the companies and entities holding shares of MP Birla Group have to vote in accordance with the direction of the Administrators. This is a path-breaking judgment which was necessary for protection and preservation of the estate.”
Decision by majority
The judgment suggested that Lodha should have raised his objection to the APL committee taking any decision by majority long ago and by not doing so thus far, he cannot agitate now. 
“In my view once the parties allowed themselves and they participated in the meeting without raising any objection that its decision if not unanimous cannot be deliberated in the meeting and after resolution has been adopted by majority it is no more open for the plaintiffs to agitate that the APL’s decision ‘by majority’ is not binding on them,” the judgment read.
Shareholders’ right
The Lodhas said the judgment did not uphold the right of the shareholders. 
“It has all along been the case of the Lodhas that the probate court examining the validity of a Will has no jurisdiction over any company in which late Priyamvada held shares. Though the inherent lack of jurisdiction was observed in the verdict in respect of the companies, Lodha has been injuncted from holding office of directors in the board of companies which the court itself said was beyond its remit,” Mandal said. 
All resolutions pertaining to Lodha’s appointment or his remuneration linked to profit in all four manufacturing companies were passed with an overwhelming majority in the AGMs of the companies.",business
Birla blow to Lodhas in court," The Birlas on Friday clinched a major victory in the 16-year battle with the Lodhas over the control of the MP Birla Group.
Calcutta High Court ruled that Harsh Vardhan Lodha — whose late father R.S. Lodha was given control of the group in July 2004 under the terms of Priyamvada Birla’s contentious will — could not hold any office in any of the entities of the M.P. Birla Group. It also restrained him from drawing any benefit personally out of the assets of the MP Birla estate.
Justice Sahidullah Munshi, who delivered the verdict, said that the three-member committee of administrators, which had been appointed in 2012 to oversee the affairs of the MP Birla estate, would “exercise all such powers and perform all such acts as the late Priyamvada Birla would have exercised had she been alive”.
The court turned down a request made by the Lodhas as for a stay on the court’s order.
The Lodhas said they would challenge the order in the appeals court as it “does not appear to be lawful”.",business
Google removes Paytm from Play Store for policy violation," Google said on Friday it had removed the Paytm app from its Play Store for violation of its policy on sport betting activities.
Paytm will not be available for download now but there will be no impact on existing users of the app, Google has clarified. ""The app was blocked for violation of play policies - a clarification of our policy was released earlier today (Friday) ahead of the IPL tournament,"" Google said in an e-mailed response.
Google also said that only the app availability on Play Store was impacted and there was no impact on users.
Paytm is a popular app for digital transactions.
In a tweet, Paytm said Paytm Android app is temporarily unavailable on Google's Play Store for new downloads or updates. ""It will be back very soon. All your money is completely safe, and you can continue to enjoy your Paytm app as normal,"" it added.
In a blog on Friday, Google said it did not allow apps facilitating sports betting and would remove such apps from the Google Play Store.
""We don't allow online casinos or support any unregulated gambling apps that facilitate sports betting. This includes if an app leads consumers to an external website that allows them to participate in paid tournaments to win real money or cash prizes, it is a violation of our policies,"" the blog post said.
According to the blog post, these policies are in place to protect users from potential harm.
There is often a surge in launches of such apps before major sporting tournaments like the IPL. The latest season of the Indian Premier League (IPL) is scheduled to start from Saturday, September 19 in the United Arab Emirates.
Google said when an app violates these policies, it notifies the developer of the violation and removes the app from Google Play until the developer brings the app into compliance.
""And in the case where there are repeated policy violations, we may take more serious action which may include terminating Google Play Developer accounts. Our policies are applied and enforced on all developers consistently,"" the blog post by Android Security and Privacy Vice President Product Suzanne Frey said.",business
US law firm files class action suit against HDFC Bank," A law firm in the US has filed a class action suit against HDFC Bank, claiming damages for the losses incurred by investors because of “materially false and misleading” representations made by India’s largest private sector lender.
The suit by Rosen Legal specifically names the bank’s managing director and chief executive Aditya Puri, his chosen successor Sashidhar Jagdishan and company secretary Santosh Haldnakar, who are the defendants in the suit, according to a copy of the complaint uploaded on the website. 
The complaint did not mention the exact amount of the damages sought, though it maintained that thousands of investors might have suffered. 
HDFC Bank could not be immediately reached for comment. 
ADVERTISING
Ads by Teads
According to the suit, bank officials “engaged in a plan, scheme, conspiracy and course of conduct, pursuant to which they knowingly or recklessly engaged in acts, transactions, practices and courses of business which operated as a fraud and deceit”, resulting in the losses to investors. 
The allegations pertain to the vehicle finance vertical, where the bank later acknowledged to have found some improprieties which resulted in some executives being acted against.
The bank had inadequate disclosure controls and procedures and internal control over financial reporting, maintained improper lending practices in the vehicle financing making the operations unsustainable and all this was likely to have a negative impact on its financial condition and reputation, it alleged.",business
GST: Covid ruse to silence automakers," Covid-19 — infamously characterised as an Act of God by finance minister Nirmala Sitharaman — has again come in as a handy excuse for a glowering response from the Narendra Modi government to silence the first rumblings of protest from automakers.
Some auto firms have had the temerity to suggest that the high goods and service tax (GST) rate has badly stalled recovery in the industry.
On Thursday, finance ministry sources sent out a stern message to the automakers: cut manufacturing costs and pare royalty payments to overseas parent firms instead of trying to pressure the government to cut GST rates.
The brouhaha over GST rates burst into the open on Tuesday when Toyota Kirloskar vice-chairman Shekar Viswanathan told Bloomberg in an interview that the carmaker had decided not to expand operations in India because of the country’s high tax regime.
“The message we are getting, after we have come here and invested money, is that we don’t want you,” Viswanathan said in that interview. In the absence of any reforms, “we won’t exit India, but we won’t scale up”.
Viswanathan’s statement resonated with other automakers and the rumblings of dissent over the high taxes started to begin, prompting Union heavy industries minister Prakash Javadekar to say in a tweet later that evening: “The news that Toyota Company will stop investing in India is incorrect. Vikram Kirloskar has clarified that Toyota will invest more than Rs 2,000 core in the next 12 months.”
Kirloskar, a minority partner in the car venture, stepped in to try and end the rumpus with his own soothing tweet: “Absolutely! We are investing over Rs 2,000 crore in electric components for the domestic customer and exports. We are committed to the future of India.”
The mild damage-control exercise didn’t apparently work as other automakers turned equally restive though they were too scared to issue public statements.
The government has now decided to come out with a more aggressive response to quell criticism over its tax regime at a time when it is trying to woo foreign investors to set up shop in India.
Driving etiquette says you must not dazzle a flustered car driver in a sudden face-off with a luminous high-beam response — but the government has chosen to do exactly that.
“If the regulatory environment was not conducive, it would be hard to imagine new players investing heavily in vehicle-manufacturing facilities like Jeep, Kia Motors and MG Motor, to name a few. Those companies which can feel the pulse of the Indian consumer and deliver accordingly are ruling the roost,” a source said.
The suggestion to cut royalty payout to overseas parents is unusually aggressive since the royalty was the real reason the Japanese and South Korean automakers invested in India in the first place. Most pay royalties between 3 and 5 per cent. In the case of small global automakers like Suzuki Motors, this is a critical source of revenue.
Maruti Suzuki paid Rs 38.2 billion — amounting to 5 per cent of its revenues — in royalties to its Japanese parent Suzuki Motor in the fiscal year ending March 31, 2020, according to its annual report. Toyota Motor’s India arm paid $88 million or 3.4 per cent of revenue to its Japanese parent, government data showed. Automakers have not responded to the government’s suggestion to cut royalties but maintain that it is becoming hard to do business in India because of the high tax rates.
Shashank Srivastava, executive director of Maruti Suzuki India, told The Telegraph: “India’s GDP per capita is low by international standards and because of our demographics profile we have a large number of first-time buyers who buy more value cars. These two factors make for a high elasticity of demand as regards the cost of acquisition of cars. The high sensitivity of buyers to the cost of acquisition makes it imperative to keep the costs low if the industry has to tap the big upside potential that comes from the current low car penetration in our country.”
He said automakers try to optimise costs relating to components, labour, productivity, logistics and retailing. But the costs outside their control are regulatory and statutory costs like road taxes, registration taxes, insurance costs, GST, cess, etc.
Therefore, the industry often appeals for the reduction of the costs of acquisition arising from these elements. “The government obviously has to take appropriate decisions on these based on the overall economy,” Srivastava said.
But an increasingly truculent government is not prepared to listen to any form of criticism and, instead, insists that automobile taxes in India are among the lowest in the world.
A finance ministry source said: “The GST rates on automobiles are less than what value-added tax (VAT) and excise duty rates used to be in pre-GST times. The tax policy on automobiles has been quite consistent for the last three decades and we have incentivised domestic manufacturing by providing reasonable protection from imports. Industry has, on its part, also delivered on its side of the bargain. It has contributed by making large investments and increasing employment.
“This sudden dissent in some quarters on tax rates on automobiles is surprising. These companies should cut down their costs of manufacturing by cutting down the royalty payments to their parent companies abroad instead of asking the government to reduce GST.”
The source suggested the response was coming from frustrated automakers who were unable to stand the heat of competition.
The official said that Japan currently imposed three types of taxes on automobiles: once on purchase, then an annual automobile tax based on engine size and, finally, a weight tax at inspections required once every two years. Over and above this, there is GST at the highest applicable rate, the official said.
Sources also cited the example of the EU where the base rate for VAT/GST on automobiles ranges from 20 per cent to 25 per cent, with a string of other taxes varying with jurisdiction.
“The UK charges vehicle excise duties that vary with car emission norms and has 14 rate slabs varying from zero to £2,175 a year with a surcharge of £325 in the first year and £150 for expensive vehicles,” a source said.
“Besides, there are road usage charges. Further, high parking charges are common across the globe. Most of the countries provide certain concessions to electric vehicles. Given this, it would be unfair to claim that the GST rates in India are astounding or a demand dampener.”
Ravi Bhatia, president and director, JATO Dynamics, an automotive research firm, said: “It is not wrong for industry to seek a stable policy framework and globally comparable taxation regime. ‘Make in India’ can happen only when the government puts money where its mouth is.”
He added: “We have idle capacity and that hurts profitability in a very big way. This sector also has employment generation potential which is not being utilised…. For a country which can economically benefit from improving mobility, the auto sector wants to be seen as a facilitator of economic growth and not a burden or a sin good.”
It is hard to say why the dissent has erupted now after months of poor automobile sales.
One view is that the carmakers want to head off the possibility of the GST Council tinkering with rates again — especially raising the compensation cess on high-end cars — at a time when the Centre is locked with the states in a battle over unpaid dues and inadequate compensation payouts to make up for the shortfall.
The issue is likely to come to a head on October 5 when the GST Council is to meet with the states, which are being asked to vote on two stark and disagreeable options: either borrow a sum of Rs 97,000 crore from a special window to be created by the Reserve Bank of India to meet a small part of the expected Rs 3 lakh crore shortfall in GST collections this year, or raise the entire uncovered sum of Rs 2.35 lakh crore in the form of debt.
The GST compensation cess is expected to raise a paltry Rs 65,000 crore this year, creating a gaping hole in the states’ finances.
The Modi government has broken a circle of trust after it disclaimed its constitutional obligation to compensate the states for any annual shortfall in tax collections this year.
Automakers fear that the compensation cess -- which is levied on cigarettes, pan masala, aerated drinks and cars that are more than 4 metres long — might be raised to meet a part of the dues, which would wreck their operations.
The GST Council was supposed to meet on Saturday but will now meet after the end of the current session of Parliament.",business
GM Indian plant sale delay to result in hefty unplanned costs," Delays in General Motors’ sale of its Indian plant to Great Wall Motor because of tensions between India and China are likely to result in hefty unplanned costs for the US automaker, people familiar with the matter said.
Gaining approval from the Indian government for China-related deals is now expected to take quite some time and although the sale should still happen at some point, GM has not changed its plan to begin winding down the plant’s operations next month, they said.
“By next year, it will either be a closed GM site or it will be an operating site with Great Wall,” said one source.
GM had planned to use the expected sale proceeds of $250 million-$300 million to pay off liabilities incurred with its exit from manufacturing in India in what a second source said would have been a “no gain-no loss” situation.
Although money will come through once the deal is done, it will now have to pay out of pocket for severance pay, some of which would never have occurred had the deal proceeded smoothly, as well as other costs — which could amount to a couple hundred million dollars, according to the second source.",business
Vodafone Idea Ltd drops faster data speed claims," Faced with regulatory heat on its controversial plan, Vodafone Idea Ltd has dropped faster data speed claims, which formed a prominent part of its pay-more-for-priority-treatment offering, and has filed a revised plan with Trai, a source said.
The move assumes significance as the Telecom Regulatory Authority of India (Trai) late last month slapped a showcause notice on VIL over its priority mobile plan, saying the tariff offer lacked transparency, was “misleading” and not in compliance with regulatory framework. 
The source said the company has now submitted a new RedX plan with Trai and claims of faster data speeds — a major bone of contention — has been done away with.
The company’s website is also no longer touting claims of faster speeds for RedX plan, which had been under Trai’s scanner over the past few weeks. 
Instead, VIL’s website is talking of benefits purely in terms of entertainment privileges (Netflix and Amazon Prime), travel privileges, mobility benefits and other privileges. 
In the new RedX plan, which has now been filed with Trai, the company has withdrawn the claim of “priority 4G network as compared to other Vodafone postpaid plans”, the source added. 
VIL’s spokesperson declined to comment on the issue.
The regulator had, on August 25, issued a showcause notice asking the company “why appropriate action should not be initiated against it for violating the extant regulatory framework by its RedX tariff plan”.",business
Irdai considering to extend tenure of Covid-specific offerings," Insurance regulator Irdai is considering a plan to extend the tenure of Covid-19 specific products as the vaccine for the disease is likely to take some more time, its chairman Subhash C. Khuntia said on Thursday.  
The watchdog is also working towards facilitating a standard product for coronavirus, which will be easy to understand and will not require “voluminous policy documents”. 
“With regard to extending the tenure of the Covid-19 related products, we are hoping that the vaccine would not be delayed for too long. But now that it appears that it will take some more time, we will take a decision about extending the tenure of the policy at an appropriate time,” Khuntia said while addressing the CII Insurance and Pensions Summit webcast. 
Corona Kavach, launched on July 10 and is being offered by both general and health insurers, is a standard health insurance policy created to meet the treatment requirements for coronavirus infection.  
The term of the policy ranges from three-and-a-half months to nine-and-a-half months, with a maximum insured amount at Rs 5 lakh. 
On new Covid-19 insurance products, Khuntia said, “We are coming out with a standard product which is to be sold by all the companies so that it becomes much easier for the policyholder to pick up that product.” 
Advertisement
Powered By PLAYSTREAM
Pandemic pool
A working group of Irdai has suggested setting up of a pandemic risk pool with a Rs 75,000 crore backstop guarantee from the government in the initial stages, with a view to help MSME workers and migrant labourers facing loss of income. ",business
DoT directs telecom service providers to carry out Special Security Audit," Telecom players must do an audit of their network equipment on security grounds amid growing fears of data pilferage by Chinese companies, the government said in the Rajya Sabha on Thursday.
State-owned BSNL is heavily reliant on Chinese vendors for its equipment, according to data released by minister of state for communications Sanjay Dhotre in the Rajya Sabha. BSNL has procured 44.4 per cent of its mobile network equipment from ZTE and 9 per cent from Huawei, both Chinese companies. Fellow PSU, Mahanagar Telecom Nigam Limited, has procured 10 per cent of its equipment from the Chinese vendors.
“The DoT (department of telecommunications) has directed the telecom service providers i.e. Bharat Sanchar Nigam Limited, Mahanagar Telephone Nigam Limited, Reliance Jio Infocomm Limited, Bharti Airtel Limited & Vodafone Idea Limited to carry out a Special Security Audit of their networks by an external agency,” the minister said.
The objective of the exercise is to check for any “backdoor” or “trapdoor” telecom network vulnerabilities that may allow foreign agencies to listen or collect data being shared on the network.
Advertisement
Powered By PLAYSTREAM BSNL: Chinese firm ZTE supplies 44% of equipment. Huawei provides 9% equipment
MTNL: 10% of equipment from China
Jio: No Chinese vendor
Vodafone, Airtel: Multiple vendors Under unified licence norms, each operator has to undertake an audit of their networks. “According to condition no 39.6 of Chapter VI of Unified Licence, each licensee has to undertake an audit of its network or get its network audited from a security point of view once in a financial year from a network audit and certification agency,” Dhotre said in response to a question from a lawmaker.
The minister’s comments come on the back of a security overhaul by the government where it has banned Chinese apps and has asked operators to complete their audits as well.
Reliance Jio Infocomm Limited (RJIL) has not deployed any equipment from ZTE and Huawei in its network, the minister said.
Vodafone Idea Limited  follows a multi-vendor strategy and has always been compliant with the various security-related requirements. Bharti Airtel Limited, too, follows a multi-vendor approach with equipment from Indian, American, European and Chinese companies across different domains such as radio, core and transport, Dhotre said in his reply.",business
Govt permits FDI of up to 74 per cent under automatic route in defence sector," The government has permitted foreign direct investment (FDI) of up to 74 per cent under the automatic route in the defence sector, according to a press note issued by the department for promotion of industry and internal trade (DPIIT) on Thursday.
However, the investments would be subject to scrutiny on the grounds of national security. The government shall reserve the right to review any foreign investment in the sector that affects or may affect national security, the DPIIT said in the note.
Under the current FDI policy, 100 per cent overseas investments are permitted in the defence industry — 49 per cent under the automatic route — while beyond that government approval is required.  What is FDI under automatic route?
Investments that do not require government or RBI approval.FDI in defence up to 49% at present under automatic route
What is the rule change?
Henceforth, FDI in defence up to 74% will not require any approval. Above 74%, approval will be required According to the Press Note 4 (2020 series): “FDI up to 74 per cent under the automatic route shall be permitted for companies seeking new industrial licences”.
The Press Note said infusion of fresh investments up to 49 per cent in a company not seeking industrial licence or which already has government approval for FDI in defence shall require “mandatory” submission of a declaration with the defence ministry in case of change in equity/shareholding pattern or transfer of stake by the existing investor to a new foreign investor for FDI up to 49 per cent, within 30 days of such a change”. 
The proposal to raise FDI beyond 49 per cent from such companies will require government approval. “The decision will take effect from the date of Fema (Foreign Exchange Management Act) notification,” the note said.",business
